YYYY-MM-DD hh:mm:ss  ,Flow  ,TOT1  ,TOT2  ,TOT3
2023-12-21 11:59:00,0.00,1229,0000,1186
2023-12-21 12:00:00,0.00,1229,0000,1186
2023-12-21 12:01:00,0.00,1229,0000,1186
2023-12-21 12:02:00,0.00,1229,0000,1186
2023-12-21 12:03:00,0.00,1229,0000,1186
2023-12-21 12:04:00,0.00,1229,0000,1186
2023-12-21 12:05:00,0.00,1229,0000,1186
2023-12-21 12:06:00,0.00,1229,0000,1186
2023-12-21 12:07:00,0.00,1229,0000,1186
2023-12-21 12:08:00,0.00,1229,0000,1186
2023-12-21 12:09:00,0.00,1229,0000,1186
2023-12-21 12:10:00,0.00,1229,0000,1186
2023-12-21 12:11:00,0.00,1229,0000,1186
2023-12-21 12:12:00,0.00,1229,0000,1186
2023-12-21 12:13:00,0.00,1229,0000,1186
2023-12-21 12:14:00,0.00,1229,0000,1186
2023-12-21 12:15:00,0.00,1229,0000,1186
2023-12-21 12:16:00,0.00,1229,0000,1186
2023-12-21 12:17:00,0.00,1229,0000,1186
2023-12-21 12:18:00,0.00,1229,0000,1186
2023-12-21 12:19:00,0.00,1229,0000,1186
2023-12-21 12:20:00,0.00,1229,0000,1186
2023-12-21 12:21:00,0.00,1229,0000,1186
2023-12-21 12:22:00,0.00,1229,0000,1186
2023-12-21 12:23:00,0.00,1229,0000,1186
2023-12-21 12:24:00,0.00,1229,0000,1186
2023-12-21 12:25:00,0.00,1229,0000,1186
2023-12-21 12:26:00,0.00,1229,0000,1186
2023-12-21 12:27:00,0.00,1229,0000,1186
2023-12-21 12:28:00,0.00,1229,0000,1186
2023-12-21 12:29:00,0.00,1229,0000,1186
2023-12-21 12:30:00,0.00,1229,0000,1186
2023-12-21 12:31:00,0.00,1229,0000,1186
2023-12-21 12:32:00,0.00,1229,0000,1186
2023-12-21 12:33:00,0.00,1229,0000,1186
2023-12-21 12:34:00,0.00,1229,0000,1186
2023-12-21 12:35:00,0.00,1229,0000,1186
2023-12-21 12:36:00,0.00,1229,0000,1186
2023-12-21 12:37:00,0.00,1229,0000,1186
2023-12-21 12:38:00,0.00,1229,0000,1186
2023-12-21 12:39:00,0.00,1229,0000,1186
2023-12-21 12:40:00,0.00,1229,0000,1186
2023-12-21 12:41:00,0.00,1229,0000,1186
2023-12-21 12:42:00,0.00,1229,0000,1186
2023-12-21 12:43:00,0.00,1229,0000,1186
2023-12-21 12:44:00,0.00,1229,0000,1186
2023-12-21 12:45:00,0.00,1229,0000,1186
2023-12-21 12:46:00,0.00,1229,0000,1186
2023-12-21 12:47:00,0.00,1229,0000,1186
2023-12-21 12:48:00,0.00,1229,0000,1186
2023-12-21 12:49:00,0.00,1229,0000,1186
2023-12-21 12:50:00,0.00,1229,0000,1186
2023-12-21 12:51:00,0.00,1229,0000,1186
2023-12-21 12:52:00,0.00,1229,0000,1186
2023-12-21 12:53:00,0.00,1229,0000,1186
2023-12-21 12:54:00,0.00,1229,0000,1186
2023-12-21 12:55:00,0.00,1229,0000,1186
2023-12-21 12:56:00,0.00,1229,0000,1186
2023-12-21 12:57:00,0.00,1229,0000,1186
2023-12-21 12:58:00,0.00,1229,0000,1186
2023-12-21 12:59:00,0.00,1229,0000,1186
2023-12-21 13:00:00,0.00,1229,0000,1186
2023-12-21 13:01:00,0.00,1229,0000,1186
2023-12-21 13:02:00,0.00,1229,0000,1186
2023-12-21 13:03:00,0.00,1229,0000,1186
2023-12-21 13:04:00,0.00,1229,0000,1186
2023-12-21 13:05:00,0.00,1229,0000,1186
2023-12-21 13:06:00,0.00,1229,0000,1186
2023-12-21 13:07:00,0.00,1229,0000,1186
2023-12-21 13:08:00,0.00,1229,0000,1186
2023-12-21 13:09:00,0.00,1229,0000,1186
2023-12-21 13:10:00,0.00,1229,0000,1186
2023-12-21 13:11:00,0.00,1229,0000,1186
2023-12-21 13:12:00,0.00,1229,0000,1186
2023-12-21 13:13:00,0.00,1229,0000,1186
2023-12-21 13:14:00,0.00,1229,0000,1186
2023-12-21 13:15:00,0.00,1229,0000,1186
2023-12-21 13:16:00,0.00,1229,0000,1186
2023-12-21 13:17:00,0.00,1229,0000,1186
2023-12-21 13:18:00,0.00,1229,0000,1186
2023-12-21 13:19:00,0.00,1229,0000,1186
2023-12-21 13:20:00,0.00,1229,0000,1186
2023-12-21 13:21:00,0.00,1229,0000,1186
2023-12-21 13:22:00,0.00,1229,0000,1186
2023-12-21 13:23:00,0.00,1229,0000,1186
2023-12-21 13:24:00,0.00,1229,0000,1186
2023-12-21 13:25:00,0.00,1229,0000,1186
2023-12-21 13:26:00,0.00,1229,0000,1186
2023-12-21 13:27:00,0.00,1229,0000,1186
2023-12-21 13:28:00,0.00,1229,0000,1186
2023-12-21 13:29:00,0.00,1229,0000,1186
2023-12-21 13:30:00,0.00,1229,0000,1186

